source,target,ligand,receptor,ligand_expression,receptor_expression,communication_score,attn_score,p_value,pathway_name,annotation,evidence
Microglia/Macrophages,OPC-like-tumor,SLURP1,CHRNB2,0.0060260361060500145,0.140605166554451,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP1,CHRNB4,0.0060260361060500145,0.38274085521698,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP1,CHRNA1,0.0060260361060500145,0.436328262090683,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP1,CHRNA3,0.0060260361060500145,0.0,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP1,CHRNA4,0.0060260361060500145,0.5925371050834656,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP1,CHRNA5,0.0060260361060500145,0.5050534605979919,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP1,CHRNA6,0.0060260361060500145,0.15013405680656433,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP1,CHRNA9,0.0060260361060500145,0.02510862983763218,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP1,CHRNA10,0.0060260361060500145,0.11237505078315735,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP1,CHRND,0.0060260361060500145,0.03389926627278328,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP1,CHRNE,0.0060260361060500145,0.10545572638511658,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP2,CHRNB1,0.025988446548581123,0.09883520007133484,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP2,CHRNB2,0.025988446548581123,0.140605166554451,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP2,CHRNB4,0.025988446548581123,0.38274085521698,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP2,CHRNA1,0.025988446548581123,0.436328262090683,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP2,CHRNA3,0.025988446548581123,0.0,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP2,CHRNA4,0.025988446548581123,0.5925371050834656,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
